,0,1
"FRT JUC,NCL,NPS","FRUIT JUICEs, CITRUS, OTHER THAN FROZEN, WITH SUGAR, CITRIC ACID, VEGETABLE GUM AND OILS, CERTIFIED FOOD COLOR AND WATER ADDED","""2033435"""
TOMATO PASTE   ,"TOMATO PASTE, PULP OR PUREE, CANNED, PREPARED OR PRESERVED, NOT RE- QUIRING PROTECTIVE SERVICE","""2033615"""
TOMATO PROCESSD,"TOMATO PASTE, PULP OR PUREE, CANNED, PREPARED OR PRESERVED, NOT RE- QUIRING PROTECTIVE SERVICE","""2033616"""
TOMATO SAUCE   ,"TOMATO SAUCE, WITH OR WITHOUT OTHER INGREDIENTS","""2033625"""
"FRT,VEG,CND,MXD","FRUITS AND VEGETABLES, CANNED OR PRESERVED, IN MIXED LOADS","""2033991"""
"POTATOES,DEHYD ","POTATOES, DRIED OR DEHYDRATED, N.E.C.","""2034330"""
"POTATOES,DRIED","POTATOES, DRIED OR DEHYDRATED, N.E.C.","""2034330"""
"POTATOES,DRIED ","POTATOES, DRIED OR DEHYDRATED, N.E.C.","""2034330"""
"FRUT FRSH,FRZN ","FRUIT, FRESH, COLD PACK (FROZEN), INCLUDING ANNONAS, APPLES, APRICOTS, BLACKBERRIES, BLUEBERRIES, CHERRIES, COWBERRIES, CRANBERRIES, DAMSONS, DEWBERRIES, ELDERB","""2037130"""
FRUT JUICE FRZN,"CITRUS FRUIT JUICE, FROZEN","""2037215"""
FOOD-FROZEN ONIONS,"VEGETABLES, FRESH OR GREEN, COLD PACK (FROZEN)","""2037361"""
VEGTBLE FRZN   ,"VEGETABLES, FRESH OR GREEN, COLD PACK (FROZEN)","""2037361"""
"FOODSTUFFS,MXD","MIXED LOADS OF CANNED GOODS, WITHOUT SEPARATE WEIGHTS, CONSISTING OF COMMODITIES IN THE 203 GROUP EXCLUSIVELY","""2039111"""
"FLOUR,WHEAT","FLOUR, WHEAT","""2041110"""
"FLOUR,WHEAT    ","FLOUR, WHEAT","""2041110"""
WHT MDLGS PEL,"WHEAT MIDDLINGS OR SHORTS,PELLETIZED","""2041208"""
WHT MDLGS PEL  ,"WHEAT MIDDLINGS OR SHORTS,PELLETIZED","""2041208"""
WHEAT MILLINGS - FEED,"WHEAT GRAIN MILL FEED, PELLETIZED, VIZ. BRAN, MIDDLINGS, RED DOG OR SHORTS, OR A PHYSICAL MIXTURE OF ANY TWO OR MORE","""2041288"""
WHT GR MILL FD ,"WHEAT GRAIN MILL FEED, PELLETIZED, VIZ. BRAN, MIDDLINGS, RED DOG OR SHORTS, OR A PHYSICAL MIXTURE OF ANY TWO OR MORE","""2041288"""
WT GRNML FD NP,"WHEAT GRAIN MILL FEED, OTHER THAN PELLETIZED, VIZ. BRAN, MIDDLINGS, REDDOG OR SHORTS, OR A PHYSICAL MIXTURE OF ANY TWO OR MORE","""2041290"""
BEAN PEA OR SD ,"BEAN, PEA OR SEED REFUSE OR SCREENINGS","""2041814"""
BARLEY,"BARLEY, BUCKWHEAT OR OAT HULLS","""2041830"""
FEED-OAT GROATS,FEED-OAT GROATS,"""2041843"""
GR,GROATS,"""2041926"""
GLUTEN MEAL,GLUTEN MEAL,"""2041928"""
WHEAT MEAL,WHEAT MEAL,"""2041960"""
WHT FLOUR NFNC ,"WHEAT FLOUR CLEARS, NOT ACEREAL PREPARATION, NOT FOR HUMAN CONSUMPTION","""2041962"""
GERM,WHEAT GERM,"""2041972"""
"WHEAT,BULGUR","WHEAT, CRACKED OR GROUND,STEAMED AND DRIED (BULGUROR BULGHUR), FOR HUMAN CONSUMPTION, REQUIRING FURTHER COOKING","""2041983"""
"BICARB SODA,FED","BICARBONATE OF SODA, ANIMAL FEED GRADE","""2042106"""
"CALCUM SALTS,FD","CALCIUM SALTS OF LONG CHAIN FATTY ACIDS, ANIMAL FEED GRADE","""2042108"""
"GRAIN,SPENT    ","GRAIN SYRUP, CONTAINING SPENT GRAIN MASH, LIQUID,FEED","""2042119"""
NUT MEAL SCRAP ,"NUTRIENT MIXTURE, ANIMAL OR POULTRY FEED SUPPLEMENT, DRY, CONSIST-ING OF GROUND CORN COBS, PEANUT HULLS, RICE HULLS,OR WHEAT MIDDLINGS, WITH NOT MORE THAN 55 PE","""2042120"""
FD SPL PRSD CL ,"FEED SUPPLEMENT, PROCESSED CHICKEN LITTER","""2042138"""
HOMINY FEED,HOMINY FEED,"""2042142"""
FEED,"FEED, GLUTEN","""2042175"""
GLUTEN FEED,GLUTEN FEED,"""2042175"""
GLUTEN FEED    ,GLUTEN FEED,"""2042175"""
"SD SSQUICARB,FD","SODIUM SESQUICARBONATE, ANIMAL FEED GRADE","""2042179"""
CORN SYRUP,CORN SYRUP,"""2046115"""
CRN SYR UNMXD,"CORN SYRUP (GLUCOSE), UNMIXED","""2046115"""
CRN SYR UNMXD  ,"CORN SYRUP (GLUCOSE), UNMIXED","""2046115"""
CORN STARCH,CORN STARCH,"""2046210"""
STARCH,CORN STARCH,"""2046210"""
"CORN OIL,LIQUID","CORN OIL, LIQUID OR SOLIDIFIED","""2046510"""
"WTR,CRN STEEP  ","CORN STEEP WATER, LIQUID","""2046925"""
BIRD FD,BIRD FOOD,"""20471"""
BLACK STRAP,BLACKSTRAP MOLASSES,"""2061710"""
"BEET PULP, DRY","BEET PULP, DRY, IN PELLETS, OR OTHER THAN IN PELLETS, OR IN MIXED LOAD OF PELLETS WITH OTHER THAN PELLETS","""2061930"""
BEET PULP,"BEET PULP, WET","""2061935"""
SUGAR,SUGAR (BEET AND CANE),"""2062"""
SUGAR          ,SUGAR (BEET AND CANE),"""2062"""
SUGAR DRY,"SUGAR, BEET OR CANE, DRY","""2062110"""
MOLASSES REFUSE,MOLASSES REFUSE,"""2062525"""
SUNFLOWER SEEDS,"SUNFLOWER SEEDS, IN SHELL, COOKED OR ROASTED","""2071236"""
"DIST MASH,SPT","DISTILLERS MASH, SPENT, NOT WHOLLY FROM GRAIN OR GRAIN PRODUCTS, FEED","""2085940"""
"DIST MASH,SPT  ","DISTILLERS MASH, SPENT, NOT WHOLLY FROM GRAIN OR GRAIN PRODUCTS, FEED","""2085940"""
DISTILLERS MASH,"DISTILLERS MASH, SPENT, FEED, PROTEIN CONTENT >=40%","""2085941"""
DDG,"SPENT GRAIN MASH, FEED","""2085945"""
"CTNSD CK,ML,SCR","COTTONSEED HULLS, CAKES OR MEAL, MIXED LOADS","""2091445"""
COTTONSEED PRSD,"COTTONSEED, WHOLE PRESSED","""2091451"""
CTNSD HULL PELT,"COTTONSEED HULLS, NOT PELLETIZED","""2091466"""
SOYBEAN OIL,"SOYBEAN OIL, CRUDE OR REFINED","""20921"""
SOYBEAN CAKE,"SOYBEAN CAKE, MEAL, FLR, GRITS","""20923"""
"SOYBN HLS,N PEL","SOYBEAN HULLS, NOT PELLETIZED","""2092316"""
SOYBEAN HULLS,"SOYBEAN HULLS, PELLETIZED","""2092317"""
"SOYBN HLS, PEL","SOYBEAN HULLS, PELLETIZED","""2092317"""
RAPESEED OIL,RAPESEED OIL (COLZA OIL),"""2093342"""
RAPESEED OIL   ,RAPESEED OIL (COLZA OIL),"""2093342"""
OSNF SD LQ OR S,"OIL, SUNFLOWER SEED, LIQUID OR SOLIDIFIED","""2093344"""
CANOLA MEAL,CANOLA MEAL,"""2093910"""
SUNFLOWER SEED OIL CAKE,"SUNFLOWER SEED OIL CAKE OR MEAL OR CRUSHED OR GROUND CAKE, OR CAKE SCREENINGS","""2093916"""
PEANUT O CKORML,"PEANUT OIL CAKE OR MEAL, INCLUDING CRUSHED OR GROUND CAKE, OR CAKE SCREENINGS","""2093917"""
CANOLA MEAL PEL,CANOLA MEAL PELLETS,"""2093922"""
"CK/ML,RP/CNL SD","CAKE OR MEAL, RAPE SEED OR CANOLA SEED","""2093939"""
FLAXSD LINSD SC,FLAXSEED (LINSEED) SCREENINGS,"""2093952"""
"FISH,SEA AN OIL",FISH OR SEA ANIMAL OIL FOOTS,"""2094247"""
FISH SOLUBLES  ,FISH SOLUBLES,"""2094260"""
MXDLD CND GOODS,"MIXED LOADS OF CANNED GOODS, WITHOUT SEPARATE WEIGHTS, CONSISTING OF COMMODITIES NOT FOUND EXCLUSIVELY IN THE 203 GROUP","""2099511"""
MEAL,"CAKE OR MEAL, N.E.C.","""2099972"""
"COTTONSEED,NBXC","CLOTH, COTTON OR SYNTHETIC FIBRE, LAMINATED, OR LAMINATED WITH OTHER FABRICS OR PAPER, NOT PLASTIC COATEDNOR CONTAINING EXPANDED PLASTIC OR RUBBER","""2295127"""
TIES,CROSSTIES,"""2411210"""
"TIES,RAILROAD","TIES, RAILROAD, WOODEN, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED","""2411210"""
"PLPWD CHIP,HDWD","PULPWOOD CHIPS, HARDWOOD","""2411560"""
"PLPWD CHPS,PINE","PULPWOOD CHIPS, PINE","""2411580"""
TELE POLES     ,"TELEPHONE POLES, WOODEN, CREOSOTED OR TREATED","""2411635"""
"FUEL,LOGS/PELLT","FUEL, LOGS OR PELLETS, BARK, SAWDUST, SHAVINGS, FIELDSTRAW OR OTHER FIBROUS MILL WASTE MATERIAL, COMPRESSED","""2411701"""
"BARK,SOFTWOOD  ","BARK, SOFTWOOD, GROUND ORPOWDERED, OTHER THAN MEDICINAL","""2411923"""
BIRCH LUMBER,BIRCH LUMBER,"""24211"""
"LUMBER,GRN,NEC","LUMBER, GREEN, NATIVE WOOD, N.E.C.","""2421170"""
"LBR TIMBER,DRID","LUMBER OR TIMBER, ROUGH OR DRESSED, DRIED","""2421184"""
KILN DRD LUMBER,KILN DRIED LUMBER IN WIDTHS LESS THAN TEN INCHES,"""2421190"""
KLN DR LUMB L10,KILN DRIED LUMBER IN WIDTHS LESS THAN TEN INCHES,"""2421190"""
LUMBER         ,LUMBER,"""2421190"""
LUMBER LT2BY1IN,LUMBER,"""2421190"""
"LUMBER,CANADIAN","LUMBER, NATIVE WOOD, CANADIAN WOOD, BRAZILIAN PINE, EUROPEAN PINE, HONDURAS PINE, MEXICAN PINE, NICARAGUAN PINE, SPRUCE OR BIRCH, DRESSED OR ROUGH, EDGES GLUED","""2421955"""
PLYWOOD,PLYWOOD / VENEER,"""24321"""
PLYWOOD        ,PLYWOOD / VENEER,"""24321"""
"BMS,ETC,OT TRET","STRUCTURAL BEAMS, GIRDERS, JOISTS, PURLINS OR RAFTERS, LAMINATED OR BUILT-UP WOOD INCLUDING N.E.C.ESSARY IRON HARDWARE FOR ASSEMBLY, OTHER THAN TREATED","""2439120"""
CORN CAKE OR ML,"CORN GERM OR CORN OIL CAKE OR MEAL, CRUSHED OR GROUND CAKE, OR CAKE SCREENINGS","""2046715"""
"POLES,WDN,NEC","POLES, WOODEN, N.E.C., IN THE ROUGH OR ROUGH TURNED, CREOSOTED OR TREATED","""2491127"""
POLES,TREATED TIMBER POLES,"""2491128"""
RR TIES WDN CRE,"RAILROAD TIES, WOODEN, CREOSOTED OR TREATED","""2491210"""
LUMBER,"LUMBER, ROUGH OR DRESSED,CREOSOTED OR OTHERWISE CHEMICALLY OR PRESERVATIVELY TREATED","""2491310"""
SHINGLES,"SHINGLES, WOODEN, CREOSOTED OR OTHERWISE PRESERVATIVELY TREATED","""2491920"""
ORINTD STRND BD,ORIENTED STRAND BOARD,"""2499110"""
"BOARDS,SAWDUST","WOOD PARTICLEBOARD, CONSISTING OF BOARDS OR SHEETS, SAWDUST OR GROUNDWOOD, COMPRESSED, BACKED OR FACED WITH CLOTH, PLASTIC, RESIN COATED OR IMPREGNATED PAPER, F","""2499615"""
"FENCING,WOODEN","FENCING, WOODEN, IN SECTIONS","""2499720"""
"FENCING,WOODEN ","FENCING, WOODEN, IN SECTIONS","""2499720"""
"SIDING, EXTERIOR","SIDING, EXTERIOR","""2499906"""
"SIDING,EXTR    ","SIDING, EXTERIOR","""2499906"""
WOODPULP CELLUL,"WOODPULP CELLULOSE, N.E.C.","""2611110"""
WOODPULP,"WOODPULP, NORTHERN BLEACHED SOFTWOOD, KRAFT","""2611136"""
CHEMO-THERMO PU,"WOODPULP, CHEMO-THERMO- MECHANICAL PULP","""2611137"""
WD PLP FRM DINK,WOOD PULP DERIVED FROM DEINKING OF PAPER,"""2611190"""
LIGNIN LIQUOR,"LIGNIN LIQUOR (CONCEN- TRATED LIQUID OR SEMI- LIQUID RESIDUE OR BY- PRODUCT FROM THE MANUFAC-TURE OF SULPHATE OR SULPHITE WOOD PULP) OR LIGNIN LIQUOR, EMULSIFIE","""2611215"""
PULP MILL LIQ,PULP MILL LIQUID,"""2611220"""
NEWSPRINT PAPER,"NEWSPRINT PAPER, BAGASSE OR BAGASSE AND OTHER FIBRES","""2621110"""
PAPER PRINTING,PRINTING PAPER,"""26213"""
WRAPPING PAPER,WRAPPING PAPER,"""26214"""
PAPER,"PAPER, NEC","""26219"""
PULPBOARD,"PULPBOARD, N.E.C., PAPER OR PULP LINED, LAMINATED OR COMBINED WITH FOIL, ALUMINUM STEEL, OR TIN, NOT CORRUGATED NOR INDENTED","""2631114"""
PULPBOARD      ,"PULPBOARD, N.E.C., PAPER OR PULP LINED, LAMINATED OR COMBINED WITH FOIL, ALUMINUM STEEL, OR TIN, NOT CORRUGATED NOR INDENTED","""2631114"""
PLPBDFBD N CORR,"PULPBOARD OR FIBREBOARD, PAPER OR PULP LINED OR NOT LINED, CORRUGATED OR INDENTED, EXCLUDING FACEDWITH FOIL, EXCLUDING BUILDING WALL OR INSULAT-ING BOARDS, AND","""2631119"""
CORES TUBES PAP,"CORES OR TUBES, TRANS- FORMER COIL WINDING, PAPER OR PAPERBOARD, SEPARATE OR COMBINED WITHASBESTOS FIBRE OR PLASTICFILM","""2655141"""
WALLBOAR       ,WALLBOARD,"""26613"""
TAR COAL,"TAR, COAL","""2911634"""
SDM HYPOCHLORIT,SODIUM HYPOCHLORITE,"""2812130"""
"CAUSTC SODA,LIQ","CAUSTIC SODA, LIQUID, GREATER THAN 55% CONCENTRATION","""2812219"""
SDM BICARBONATE,SODIUM BICARBONATE,"""2812316"""
SODIUM BARCARBONITE,SODIUM BICARBONATE,"""2812316"""
SDM CARBONATE,"SODIUM CARBONATE (SODA ASH), SODA ASH, MODIFIED,OR SODIUM CARBONATE, MONOHYDRATE","""2812322"""
SODA ASH,SODA ASH,"""2812322"""
DISODIUM PHOSP,DIBASIC SODIUM PHOSPHATE,"""2812330"""
"BISULPHITES, IN","BISULPHATE OF SODA, CRUDE","""2812340"""
SODIUM METHYLAT,SODIUM METHYLATE,"""2812350"""
SODIUM MIXTURES,"SODIUM (SODA) MIXTURES OFSODIUM (SODA), SULPHATE OF, AND SULPHITE OF, CRUDE OR UNREFINED","""2812352"""
SODIUM SULFATE,SODIUM SULFATE OR GLAUBERS SALTS,"""2812356"""
SODIUM SULFITE,SODIUM SULFITE,"""2812358"""
HAZARDOUS-SODIUM HYDROXIDE,SODIUM HYDROXIDE/SODIUM SULPHITE SOLUTION,"""2812365"""
SODIUM HYDROXID,SODIUM HYDROXIDE AND SODIUM BOROHYDRIDE SOLUTION,"""2812367"""
POTASSIUM HYDRO,POTASSIUM HYDROXIDE (CAUSTIC POTASSIUM),"""2812410"""
PTSM CHLORIDE,POTASSIUM CHLORIDE (POTASSIUM MURIATE),"""2812534"""
PTSM CHLORIDE  ,POTASSIUM CHLORIDE (POTASSIUM MURIATE),"""2812534"""
PHOSPHATE      ,POTASSIUM PHOSPHATE,"""2812544"""
PTSM SULFATE,POTASSIUM SULFATE,"""2812552"""
PTSM SULFATE   ,POTASSIUM SULFATE,"""2812552"""
PTSM THIOSULFAT,POTASSIUM THIOSULFATE SOLUTION,"""2812563"""
PTSM MG SLFT,"POTASSIUM-MAGNESIUM SULFATE, REFINED (LANGBEINITE, MAGNESIA (MAGNESIUM)) POTASH (POTASSIUM) SULFATE (SULPHATE), POTASH (POTASSIUM)-MAGNESIA (MAGNESIUM) SULFATE","""2812567"""
CALC CHLORIDE  ,"CALCIUM CHLORIDE, LIQUID","""2812632"""
CALCIUM CHLORIDE,"CALCIUM CHLORIDE, LIQUID","""2812632"""
CALCIUM CARBONATE,CALCIUM CARBONATE SLURRY,"""2812668"""
CHLORINE GAS,"CHLORINE GAS, LIQUEFIED","""2812815"""
HAZARDOUS-CHLORINE,"CHLORINE GAS, LIQUEFIED","""2812815"""
"ARGON GAS,LIQ","ARGON GAS, LIQUID, OTHER THAN COMPRESSED","""2813465"""
REFRIGERANTS,"REFRIGERANTS, N.E.C., GAS ORLIQUID, NONFLAMMABLE","""2813978"""
BENZENE,BENZENE (BENZOL),"""2814116"""
"BENZENE,BENZOL",BENZENE (BENZOL),"""2814116"""
COAL TAR CREOSO,"COAL TAR CREOSOTE (CREOSOTE OR DEAD OIL) ORDISTILLATE OR SOLUTION, COAL TAR AND COAL TAR CREOSOTE (CREOSOTE OR DEAD OIL)","""2814125"""
AROMATIC OIL   ,"AROMATIC OIL, HEAVY","""2814144"""
HEPTANE,HEPTANE,"""2814145"""
"NAPHTHA,PETRO","NAPHTHALENE (NAPHTHALIN),CRUDE (TAR CAMPHOR, CRUDE)","""2814149"""
TOLUENE        ,TOLUENE,"""2814167"""
"XYLENE,OT SOLTN","XYLENE (DIMETHYLBENZENE OR XYLOL),OTHER THAN SOLUTION","""2814170"""
CARBOLIC ACID,CARBOLIC ACID (PHENOL),"""2815111"""
PHTHALIC ANHYDR,PHTHALIC ANHYDRIDE,"""2815135"""
METHANOL METHYL,"METHYLTAURINE SOLUTION, CONTAINING NOT MORE THAN 70 PERCENT METHYLTAURINE","""2815140"""
TOLUENE DIISOCY,TOLUENE DIISOCYANATE,"""2815166"""
DIYLOPNTDNE,DICYCLOPENTADIENE,"""2815187"""
METHYL METH MON,METHYL METHACRYLATE MONOMER,"""2818112"""
"ACRYLATES,BUTYL","ACRYLATES, BUTYL, ETHYL- HEXYL, HYDROXYETHYL, HYDROXYPROPYL OR ISOBUTYL","""2818115"""
DEF,DEF,"""2818142"""
UREA LIQ O LQD,UREA LIQUOR OR UREA LIQUID OR CONCENTRATE,"""2818146"""
UREA OT LIQOLQD,"UREA, OTHER THAN LIQUOR OR LIQUID","""2818170"""
ACRYDE SOL,ACRYLAMIDE SOLUTION,"""2818210"""
"SORBITOL,IN SOL","SORBITOL SOLUTION, CRUDE","""2818245"""
TRIETHYLENE    ,TRIETHYLENE GLYCOL DIMETHYL ETHER,"""2818275"""
"STYRENE, LIQUID","STYRENE, LIQUID","""2818342"""
ALCOHOL ETHYL,"ALCOHOL, ETHYL","""28184"""
ALCOHOLIC BEVER,"ALCOHOL, ETHYL","""28184"""
METHANOL,METHANOL,"""2818426"""
METHANOL       ,METHANOL,"""2818426"""
ALCOHOL PROPYL,"ALCOHOL, PROPYL","""2818429"""
ETHANOL,ETHANOL,"""2818445"""
ETHANOL        ,ETHANOL,"""2818445"""
ETHYL-ALC-ANHYD,"ETHYL ALCOHOL, ANHYDROUS,DENATURED IN PART WITH PETROLEUM PRODUCTS AND/ORCHEMICALS, PETROLEUM PRODUCTS AND/OR CHEMICALSNOT TO EXCEED TWENTY PERCENT NOT FIT FOR","""2818447"""
DIETHYLENE,DIETHYLENE GLYCOL,"""2818542"""
POLYPROPYL GLYC,"POLYPROPYLENE, GLYCOL","""2818555"""
"ACETIC ACID, GL","ACETIC ACID, GLACIAL OR LIQUID","""2818620"""
CORROSIVE LIQUI,"CORROSIVE LIQUID, ACIDIC,ORGANIC NOS (NONANOLY CHLORIDE) 8 UN 3265 PG 111","""2818694"""
ORG SODIUM SLTS,ORGANIC SODIUM SALTS,"""2818990"""
AMMONIUM FLUORI,AMMONIUM FLUORIDE,"""2819129"""
AMMONIA NITRATE,"AMMONIUM NITRATE, SODIUM NITRATE MIXTURE","""2819137"""
AMMONM SULPHATE,AMMONIUM SULPHATE,"""2819155"""
AMMON THIOSULPH,AMMONIUM THIOSULPHATE SOLUTION,"""2819173"""
NITRIC ACID    ,NITRIC ACID,"""2819215"""
SULPHURIC ACID ,SULPHURIC ACID,"""28193"""
