Name,STCC,group
MISC. FRESH VEGETABLES,139,
"DIMENSION STONE, QUARRY",141,
LIVESTOCK,141,
CRUSHED AND BROKEN STONE,142,
DAIRY FARM PRODUCTS,142,
ANIMAL FIBERS,143,
SAND AND GRAVEL,144,
"CLAY, CERAMIC AND REFRACTORY",145,
CHEMICAL AND FERTILIZER MINERALS,147,
MISC NONMETALLIC MINERALS,149,
LIVE POULTRY,151,
POULTRY EGGS,152,
"GUNS, HOWITZERS, MORTARS",191,
HORTICULTURAL SPECIALTIES,191,
"AMMUNITION, OVER 30 MM",192,
ANIMAL SPECIALTIES,192,
FULL TRACKED COMBAT VEHICLES,193,
SIGHTING AND FIRE CONTROL EQPT,194,
"SMALL ARMS, 30 MM AND UNDER",195,
"SM ARMS AMMUNITION, 30 MM, UNDER",196,
"MISC ORDNANCE, ACCESS, PARTS",199,
MEAT (INC POULTRY & SMALL GAME),201,
DAIRY PRODUCTS,202,
"CAN/PRSRVD FRUITS, VEG, SEA FD",203,
GRAIN MILL PRODUCTS,204,
BAKERY PRODUCTS,205,
SUGAR (BEET AND CANE),206,
CONFECTIONERY AND RELATED PRD,207,
BEVERAGES AND FLAVORING EXTRACT,208,
MISC FOOD PREPARATIONS,209,
CIGARETTES,211,
CIGARS,212,
CHEWING AND SMOKING TOBACCO,213,
STEMMED AND REDRIED TOBACCO,214,
COTTON BROAD WOVEN FABRICS,221,
MAN MADE FIBER AND SILK,222,
WOOL BROAD WOVEN FABRICS,223,
NARROW FABRICS,224,
KNIT FABRICS,225,
"FLOOR COVERINGS, TEXTILE",227,
YARN AND THREAD,228,
MISCELLANEOUS TEXTILE GOODS,229,
MENS AND BOYS CLOTHING,231,
"WOMENS, GIRLS & INFANTS CLOTHING",233,
"MILLINERY, HATS AND CAPS",235,
FUR GOODS,237,
MISC APPAREL & ACCESSORIES,238,
MISCELLANEOUS FABRICATED TEXTILE,239,
"PRIM FOREST PRD (PLPWD, PLNG)",241,
SAWMILL AND PLANING MILL PRD,242,
"MILLWORK, VENEER, PLYWOOD",243,
WOODEN CONTAINERS,244,
MISCELLANEOUS WOOD PRODUCTS,249,
HOUSEHOLD AND OFFICE FURNITURE,251,
PUBLIC BUILDING AND RLTD FURN,253,
"PARTITIONS, SHELVING, LOCKERS",254,
MISCELLANEOUS FURNITURE AND FXTR,259,
PULP AND PULP MILL PRODUCTS,261,
"PAPER, EXCEPT BUILDING PAPER",262,
"PAPERBOARD, PULPBOARD & FIBERBRD",263,
CONVERTED PAPER & PAPERBRD PRD,264,
MISCELLANEOUS PAPER PRODUCTS,264,
"CONTAINERS & BOXES, PAPERBOARD",265,
"CONTAINERS OR BOXES, PAPERBOARD",265,
BUILDING PAPER & BUILDING BOARD,266,
NEWSPAPERS,271,
PERIODICALS,272,
BOOKS,273,
MISCELLANEOUS PRINTED MATTER,274,
MANIFOLD BUSINESS FORMS,276,
"GREETING CARDS, SEALS, LABELS",277,
"BLANKBOOKS, LOOSELEAF BINDERS",278,
PRD OF SERVICE INDUSTRIES,279,
"INDUSTRIAL CHEMICALS, ORG/INORG",281,
PLSTC MATERIALS & SYN RESINS,282,
"DRUG (BIO PRD, MEDL CHEMS, ETC.)",283,
"SOAP, DTRGNS, CLNG PREPS, CSMCS",284,
"PAINTS, VRNSHS, LACQUERS, ENAMEL",285,
GUM AND WOOD CHEMICALS,286,
AGRICULTURAL CHEMICALS,287,
MISCELLANEOUS CHEMICAL PRD,289,
PRODUCTS OF PETROLEUM REFINING,291,
PAVING AND ROOFING MATERIALS,295,
MISCELLANEOUS PETROLEUM AND COAL,299,
TIRES AND INNER TUBES,301,
RUBBER AND PLASTIC FOOTWEAR,302,
RECLAIMED RUBBER,303,
RUBBER & PLASTIC HOSE & BELTING,304,
MISCELLANEOUS FABRICATED RUBBER,306,
MISCELLANEOUS PLASTIC PRODUCTS,307,
LEATHER,311,
INDUSTRIAL LEATHER BELTING,312,
BOOT AND SHOE CUT STOCK,313,
"FOOTWEAR, EXC RUBBER OR PLASTIC",314,
LEATHER GLOVES AND MITTENS,315,
"LUGGAGE, HANDBAGS",316,
MISCELLANEOUS LEATHER GOODS,319,
FLAT GLASS,321,
GLASS & GLASSWARE,322,
HYDRAULIC CEMENT,324,
STRUCTURAL CLAY PRODUCTS,325,
POTTERY AND RELATED PRODUCTS,326,
"CONCRETE, GYPSUM & PLASTER PRD",327,
CUT STONE AND STONE PRODUCTS,328,
"ABRASIVES, ASBESTOS, MISC",329,
STEEL WORKS & ROLLING MILL PRD,331,
IRON AND STEEL CASTINGS,332,
NONFERROUS METALS PRIMARY SMELT,333,
NONFERROUS METAL BASIC SHAPES,335,
NONFERROUS AND NONFERROUS BASE,336,
NONFERROUS METAL OR NONFERROUS METAL ALLOY BASE ALLOY CASTINGS,336,
MISCELLANEOUS PRIMARY METAL PRD,339,
METAL CANS,341,
"CUTLERY, HAND TOOLS, & HARDWARE",342,
PLUMBING FXTRS AND HEATING APPAR,343,
FABRICATED STRUCTURAL METAL PRD,344,
"BOLTS, NUTS, SCREWS, RIVETS",345,
METAL STAMPING,346,
"MISC FABR WIRE PRD, EXC STEEL",348,
MISC FABRICATED METAL PRD,349,
ENGINES AND TURBINES,351,
FARM MACHINERY AND EQUIPMENT,352,
"CONST, MINING & MATERIALS HNDLNG",353,
METALWORKING MACHINERY AND EQPMT,354,
SPECIAL INDUSTRY MACHINERY,355,
GENERAL INDUSTRIAL MACHINERY,356,
"OFFICE, COMPUTING, AND ACCT",357,
SERVICE INDUSTRY MACHINES,358,
"MISC MACHINERY & PARTS, EXC ELEC",359,
ELECTRICAL TRANS & DISTRIB EQPT,361,
ELECTRICAL INDUSTRIAL APPARATUS,362,
APPLIANCES (VARIOUS),363,
HOUSEHOLD APPLIANCES,363,
ELECTRIC LIGHTING & WIRING EQPT,364,
RADIO AND TV RECEIVING SETS,365,
COMMUNICATION EQUIPMENT,366,
ELECTRONIC COMPONENTS & ACCESS,367,
"MISC ELECTRICAL MACHINERY, EQPT",369,
MOTOR VEHICLES & EQUIPMENT,371,
AIRCRAFT AND PARTS,372,
SHIPS AND BOATS,373,
RAILROAD EQUIPMENT,374,
"MOTORCYCLES, BICYCLES & PARTS",375,
GUIDED MSL & SPACE VHL PARTS,376,
MISCELLANEOUS TRANSPORTATION,379,
"ENGINEERING, LAB & SCIENCE INST",381,
"MEASURING, CONTROL & INDICATE",382,
OPTICAL INSTRUMENTS & LENSES,383,
"SURGICAL, MEDICAL & DENTAL INST",384,
OPHTHALMIC OR OPTICIANS GOODS,385,
PHOTOGRAPHIC EQUIPMENT & SUPP,386,
"WATCHES, CLOCKS, DEVICES & PARTS",387,
"JEWELRY, SILVERWARE & PLATED",391,
MUSICAL INSTRUMENTS AND PARTS,393,
"TOYS, AMUSEMENT, SPORT, ATHLETIC",394,
"PENS, PENCILS & OTH OFFICE MTL",395,
"COSTUME JEWELRY, NOVELTIES",396,
MISCELLANEOUS MANUFACTURED PRD,399,
ASHES,401,
"WASTE AND SCRAP, EXCEPT ASHES",402,
MISC COMMODITIES NOT REG FRT SVC,412,
"CONTAINERS, NON-REV., RTD EMPTY",421,
"TRAILERS, SEMI TRAIL, RTD EMPTY",422,
"TRAILERS, REVENUE, RTD EMPTY",423,
FREIGHT FORWARDER TRAFFIC (CL),441,
SHIPPER ASSN OR SIMILAR TF (CL),451,
MISC MIXED SHIPMENTS,461,
"MISC MIXED SHIPMENTS, 2 COMMOD.",462,
FISH & WHALE PRD INC FRZN,912,
LEAD ORES,1031,
ZINC ORES,1032,
BITUMINOUS COAL,1121,
BARLEY,1131,
"CORN, EXCEPT POPCORN",1132,
OATS,1133,
"RICE, ROUGH",1134,
RYE,1135,
SORGHUM GRAINS,1136,
"WHEAT, EXCEPT BUCKWHEAT",1137,
"GRAIN, NEC",1139,
SOYBEANS,1144,
LEAF TOBACCO,1193,
"POTATOES, OTHER THAN SWEET",1195,
SUGAR BEETS,1197,
APPLES,1221,
GRAPES,1224,
PEACHES,1226,
BANANAS,1232,
"COFFEE, GREEN",1295,
"ONIONS, DRY",1318,
CELERY,1334,
LETTUCE,1335,
"BEANS, DRY RIPE",1341,
"PEAS, DRY",1342,
WATERMELONS,1392,
TOMATOES,1394,
"MELONS, EXCEPT WATERMELONS",1398,
CATTLE,1411,
"SWINE, BOARS, HOGS",1413,
SHEEP AND LAMBS,1414,
WOOL,1431,
"MEAT, FRESH OR CHILLED",2011,
"MEAT, FRESH FROZEN",2012,
MEAT PRODUCTS,2013,
"ANIMAL BY-PRODUCTS, INEDIBLE",2014,
"DRSD POULTRY OR SML GAME, FRESH",2015,
"DRSD POULTRY OR SML GAME, FRZN",2016,
PROCESSED POULTRY & SMALL GAME,2017,
CREAMERY BUTTER,2021,
"CONDENSED, EVAPORATED, DRY MILK",2023,
ICE CREAM AND FROZEN DESSERTS,2024,
CHEESE & SPECIAL DAIRY PRODUCTS,2025,
"PROCD WHOLE & SKIM MILK, CREAM",2026,
CANNED AND CURED SEA FOODS,2031,
CANNED SPECIALTIES,2032,
"CANNED FRUITS, VEGETABLES, JAMS",2033,
DRIED & DEHYD FRUITS & VEG,2034,
"PKLD FRUITS & VEG, SAUCES",2035,
FRESH & FROZEN PACKAGED FISH,2036,
"FRZN FRUITS, JUICES AND VEG",2037,
FROZEN SPECIALTIES,2038,
"CANNED & PRESERVED FRUITS, VEG",2039,
FLOUR AND OTHER GRAIN MILL PRD,2041,
CEREAL PREPARATIONS,2043,
"MILLED RICE, FLOUR AND MEAL",2044,
BLENDED AND PREPARED FLOUR,2045,
WET CORN MILLING PRD & BY-PRD,2046,
SUGAR MILL PRODUCTS AND BY PRD,2061,
"SUGAR, REFINED CANE AND BEETS",2062,
MALT,2083,
"WINES, BRANDY & BRANDY SPIRITS",2084,
"BTLD & CANNED SOFT DRINKS, ETC.",2086,
MISC EXTRACTS EXC CHOCOLATE,2087,
VEG & NUT OILS & BY-PRD,2093,
MARINE FATS AND OILS,2094,
"ROASTED COFFEE, INC INSTANT",2095,
"SHRNG, TABLE OILS, MRGN & OTH",2096,
"ICE, NATURAL OR MANUFACTURED",2097,
"MACARONI, SPAGHETTI, VERMICELLI",2098,
TIRE CORD AND FABRICS,2296,
WOOL AND MOHAIR (SCRD ETC),2297,
CORDAGE AND TWINE,2298,
LUMBER AND DIMENSION STOCK,2421,
MISC SAWMILL & PLNG MILL PRD,2429,
MILLWORK,2431,
VENEER AND PLYWOOD,2432,
CREOSOTED OR OIL TREATED WOOD,2491,
PAPER BAGS,2643,
"SODIUM, PTSM, & OTH INORG CHEMS",2812,
"INDUSTRIAL GASES, COMPRESSED",2813,
CRUDE PRD FROM COAL TAR,2814,
INORGANIC PIGMENTS,2816,
MISC INDUSTRIAL ORG CHEMICALS,2818,
MISC INDUSTRIAL INORG CHEMICALS,2819,
SOAP & OTH DTRGNS EXC SPECIALTY,2841,
FERTILIZERS,2871,
EXPLOSIVES,2892,
LIQUEFIED PETROLEUM GASES,2912,
ASPHALT PAVING BLOCK & MIXTURES,2951,
ASPHALT FELT AND COATINGS,2952,
GLASS CONTAINERS,3221,
BRICK AND STRUCTURAL CLAY TILE,3251,
CERAMIC WALL AND FLOOR TILE,3253,
"REFRACTORIES, CLAY AND NONCLAY",3255,
MISC STRUCTURAL CLAY PRODUCTS,3259,
CONCRETE PRODUCTS,3271,
LIME AND LIME PLASTER,3274,
GYPSUM PRODUCTS,3275,
ABRASIVE PRODUCTS,3291,
"NNMETIC MNRLS OR EARTHS, GRND",3295,
PRIMARY IRON & STEEL PRD,3312,
ELECTROMETALLURGICAL PRD,3313,
"STEEL WIRE, NAILS, AND SPIKES",3315,
PRIM COPPER & COPPER BASE ALLOY,3331,
PRIME LEAD SMELTER PRD,3332,
PRIM ZINC SMELTER PRD,3333,
PRIM ALUMINUM SMELTER PRD,3334,
"COPPER, BRASS OR BRONZE",3351,
ALUMINUM & ABA BASIC SHAPES,3352,
NONFERROUS METAL AND INSULATED,3357,
ALUMINUM & ALUMINUM BASE ALLOY,3361,
"BRASS, BRONZE, COPPER AND CBA",3362,
IRON AND STEEL FORGINGS,3391,
NONFERROUS METAL FORGINGS,3392,
"HEATING EQUIPMENT, EXC ELECTRIC",3433,
FABR STRUCTURAL METAL PRODUCTS,3441,
METAL SHIPPING CONTAINERS,3491,
"VALVES & PIPE FTG, EXC PLUMRS",3494,
"GARDEN TRACTORS, GARDEN EQPMNT",3524,
CONST MACHINERY AND EQUIPMENT,3531,
"MINING MACHY, EQPT & PARTS",3532,
OIL FIELD MACHINERY & EQUIPMENT,3533,
"IND TRUCKS, TRACTORS, TRAILERS",3537,
HOUSEHOLD COOKING EQUIPMENT,3631,
HOUSEHOLD REFRIG & FREEZERS,3632,
HOUSEHOLD LAUNDRY EQUIPMENT,3633,
MOTOR VEHICLES,3711,
PASSENGER CAR BODIES,3712,
TRUCK AND BUS BODIES,3713,
MOTOR VEHICLE PARTS AND ACCESS,3714,
TRUCK TRAILERS,3715,
SPORTING AND ATHLETIC GOODS,3949,
"METAL SCRAP, WASTE AND TAILINGS",4021,
"TEXTILE WASTE, SCRAP",4022,
PAPER WASTE AND SCRAP,4024,
RUBBER & PLASTIC SCRAP & WASTE,4026,
LATEX AND ALLIED GUMS,8423,
"RUBBER, GUAYULE OR NATURAL CRUDE",8423,
"SHELLS (OYSTER,CRAB,ETC.)",9131,
BENEFICIATING GRADE ORE,10112,
RAW ANTHRACITE,11111,
CLEANED OR PREP. ANTH.,11112,
"IRON ORE, N.E.C., OR MAGNETITE (LOADSTONE) OR HEMATITE ORES, CRUDE, NOTGROUND, WHEN TO BLAST FURNACES",11190,CONSTRUCTION PRODUCTS
AGRICULTURAL LIMESTONE,14211,
FLUXING STONE OR LIMES,14212,
SAND (AGGREGATE AND BALLAST),14411,
GRAVEL (AGGREGATE AND BALLAST),14412,
"INDUSTRIAL SAND, CRUDE",14413,
"BENTONITE, CRUDE",14511,
"FIRE CLAY, CRUDE",14512,
"BALL AND KAOLIN CLAY, CRUDE",14514,
CRUDE FELDSPAR,14515,
"BARITE (BARYTES), CRUDE",14711,
"BORATE, POTASH AND SODA, CRUDE",14713,
APATITE AND PHOSPHATE ROCK,14714,
ROCK SALT,14715,
"ROCK SALT, CRUDE",14715,
"SULPHUR, CRUDE",14716,
"ANHYDRITE AND GYPSUM, CRUDE",14911,
NATIVE ASPHALT AND BITUMENS,14913,
"PUMICE AND PUMICITE, CRUDE",14914,
"HIDES, SKINS, NOT TANNED",20141,
"BLOOD DRIED, NOT HUMAN",20144,
BLOOD FLOUR,20144,
"WHEAT FLOUR, EXC BLENDED",20411,
"WHEAT BRAN, MIDDLINGS OR SHORT",20412,
"PREP ANIMAL FEED, EXC. PET",20421,
CANNED ANIMAL FEED EXC. PET,20423,
CORN SYRUP,20461,
CORN STARCH,20462,
CORN SUGAR,20463,
BIRD FOOD,20471,
"DOG, CAT & OTH PET FD EXC CAN",20471,
"CANNED DOG, CAT & OTH PET FOOD",20472,
RAW CANE AND BEET SUGAR,20611,
"SUGAR MOLASSES, EXC BLACKSTRAP",20616,
BLACKSTRAP MOLASSES,20617,
SUGAR REFINING BY-PRODUCTS,20625,
"PULP, MOLASSES, BEET",20626,
"BEER, ALE, PORTER, STOUT",20821,
MALT EXTRACT AND BREWERS SPENT,20823,
DISTILLED & BLENDED LIQUORS,20851,
BY-PRD OF LIQUOR DISTILLING,20859,
"COTTONSEED OIL, CRUDE OR REF",20911,
"COTTONSEED CAKE, MEAL & OTHER",20914,
"SOYBEAN OIL, CRUDE OR REFINED",20921,
"SOYBEAN CAKE, MEAL, FLR, GRITS",20923,
LOGS,24111,
UNTREATED RAILROAD TIES,24112,
PULPWOOD LOGS,24114,
PULPWOOD AND OTHER WOOD CHIPS,24115,
WOOD CHIPS,24115,
UNTREATED POLES,24116,
"WOOD POSTS, POLES AND PILINGS",24116,
UNTREATED WOOD PROPS OR TIMBERS,24118,
BIRCH LUMBER,24211,
"LUMBER, ROUGH OR DRESSED OR SOFTWOOD CUT",24211,
SAWED TIES,24212,
"SAWED TIES (RAILROAD,MINE)",24212,
HARDWOOD FLOORING,24215,
DIMENSIONAL LUMBER,24219,
WOODEN SHINGLES,24291,
SAWMILL OR PLANING MILL PRODUCTS,24299,
PLYWOOD / VENEER,24321,
PREFABRICATED WOOD PRODUCTS,24391,
TREATED WOOD POLES,24911,
TREATED RAILROAD TIES,24912,
TREATED LUMBER,24913,
FINISHED WOODEN POLES / RODS / STAKES,24981,
"OSB, ORIENTED STRANDBOARD",24991,
WOODEN CRANE MATS,24992,
HARDBOARD,24993,
PARTICLEBOARD / MDF,24996,
WOODEN FENCING / GATES,24997,
PULP,26111,
WOOD PULP,26111,
"PULP MILL BY-PRODUCTS (LIGNIN LIQUOR, ETC)",26112,
NEWSPRINT,26211,
GROUND WOOD,26212,
"GROUND WOOD PAPER, UNCOATED",26212,
PRINTING PAPER,26213,
WRAPPING PAPER,26214,
"WRAPPING PAPER, WRAPPERS OR COARSE PAPER",26214,
SPECIAL INDUSTRIAL PAPER,26217,
SANITARY TISSUE STOCK,26218,
"PAPER, NEC",26219,
PULPBOARD,26311,
SANITARY TISSUES/HEALTH PRODS,26471,
WALLBOARD,26613,
"SODIUM CPD, EXC ALKALIES",28123,
"MAGNESIUM CHLORIDE, CALCIUM CHLORIDE",28126,
"ALCOHOL, ETHYL",28184,
ALCOHOLS,28184,
SULPHURIC ACID,28193,
"RADIOACTIVE MATERIALS, ARTICLES OR ISOTOPES",28197,
RUBBER,28212,
SYNTHETIC RUBBER,28212,
SYNTHETIC FIBERS,28213,
"SALT, COMMON",28991,
SODIUM CHLORIDE,28991,
"BLACKS, CARBON",28996,
"CARBON, ACTIVATED, ABSORBENT, CLARIFYING",28996,
"GSLN, JET, OTH HIGH VOLA PETRO",29111,
KEROSENE,29112,
DISTILLATE FUEL OIL,29113,
LUBRICATING & SIMILAR OILS,29114,
LUBRICATING GREASES,29115,
"ASPHALT, TAR AND PITCHES",29116,
RESIDUAL FUEL OIL,29117,
COAL AND COKE BRIQUETTES,29911,
"PETROLEUM COKE, EXC BRIQUETTES",29913,
COKE PRODUCED FROM COAL,29914,
"PNEUMATIC TIRES, RUBBER",30111,
"CARPETS, CARPETING, MATS, MATTING OR RUGS, RUBBER",30614,
"PIPE OR TUBING, PLASTIC",30712,
PLASTIC PIPE,30719,
GLASS,32119,
CULLET,32299,
"GLASS, CRUSHED, GROUND OR POWDERED",32299,
"CEMENT, HYDLC, PORTLAND, NAT",32411,
"BRICK AND BLOCKS, CLAY & SHALE",32511,
"BRICK, BUILDING, COMMON",32511,
CLAY ROOFING TILE,32594,
GYPSUM WALLBOARD,32754,
PIG IRON,33111,
FURNACE SLAG,33112,
METALIZING PLANT PRODUCTS,33115,
COKE OVEN & BLAST FURNACE PRD,33119,
"BILLETS, IRON OR STEEL",33121,
STEEL INGOT AND SEMI FINISHED,33121,
"STEEL SLABS, BILLETS, SKELP, BREAKDOWNS",33121,
PLATE STEEL,33122,
SHEET STEEL,33123,
IRON OR STEEL BARS,33124,
STRUCTURAL SHAPES OR PILINGS,33125,
STEEL PIPE OR TUBING,33126,
TIN PLATE,33127,
RAILWAY TRACK MATERIAL,33128,
PRIMARY IRON OR STEEL PRODUCTS,33129,
FERROMANGANESE,33131,
FERROCHROME,33132,
FERROSILICON,33133,
ADDITIVE ALLOYS,33134,
"ELECTROMETALLURGICAL PRODUCTS, NEC",33135,
"FERROALLOYS, NEC",33139,
"NON-INSULATED FERROUS WIRE ROPE, CABLE OR STRAND",33151,
"STEEL NAILS, STAPLES, TACKS, BRADS, OR SPIKES",33152,
STEEL WIRE,33155,
IRON AND STEEL CAST PIPE,33211,
IRON OR STEEL CAST PIPE OR FITTINGS,33211,
"PRIMARY COPPER OR COPPER BASE ALLOY, PIG, SLABS, OR INGOTS",33311,
COPPER MATTE,33312,
"LEAD PIG, SLAB",33321,
LEAD MATTE,33322,
"ZINC SMELTER PRODUCTS, PIG, SLAB, INGOTS",33331,
ZINC DROSS,33332,
"ALUMINUM INGOTS, SLAB",33341,
ALUMINUM RESIDUES,33342,
"MAGNESIUM PIG, SLAB, OR INGOTS",33391,
"NICKEL PIG, SLAB, OR INGOTS",33394,
TIN OR TIN BASE ALLOY,33395,
MISC NONFERROUS METAL RESIDUES,33398,
"PRIMARY NONFERROUS METAL INGOTS, PIG, OR SLAB",33399,
"COPPER, BRASS, BRONZE, OR OTHER COPPER BASE ALLOY PLATE, SHEET, OR STRIP",33512,
"COPPER, BRASS, BRONZE, OR OTHER COPPER BASE ALLOY PIPE, OR TUBE",33513,
"COPPER, BRASS, BRONZE, OR OTHER COPPER BASE ALLOY SHAPES, NEC",33519,
"ALUMINUM OR ALUMINUM BASE ALLOY, PLATE OR SHEET",33521,
"ALUMINUM OR ALUMINUM BASE ALLOY, ROD OR BARS",33523,
"ALUMINUM OR ALUMINUM BASE ALLOY, PIPE OR TUBE",33524,
"ALUMINUM OR ALUMINUM BASE ALLOY, BASIC SHAPES",33529,
"MAGNESIUM OR MAGNESIUM BASE ALLOY, BASIC SHAPES",33561,
LEAD OR LEAD BASE ALLOY BASIC SHAPES,33562,
NICKEL OR NICKEL BASE ALLOY BASIC SHAPES,33563,
ZINC OR ZINC BASE ALLOY BASIC SHAPES,33564,
TITANIUM BASIC SHAPES,33565,
"WELDING RODS, BAR, OR WIRE",33566,
"ALUMINUM OR ALUMINUM ALLOY BASE WIRE, CABLE, OR STRAND, BARE",33571,
"COPPER OR COPPER ALLOY BASE WIRE, CABLE, OR STRAND, BARE",33572,
"NONFERROUS METAL OR NONFERROUS METAL ALLOY BASE WIRE, CABLE, OR STRAND, BARE",33573,
"WIRE OR CABLE INSULATED, ENAMELED OR COVERED, ALL TYPES",33574,
IRON OR STEEL FORGINGS,33911,
FABR STRUCTURAL IRON OR STEEL,34411,
FABRICATED STRUCTURAL STEEL PRODUCTS,34411,
"WIRE GOODS OR WIRE WORK, NEC",34819,
"METAL VALVES FOR PLUMPING, PIPING, OR HEATING",34941,
METAL FOIL OR LEAF,34992,
"FABRICATED METAL PRODUCTS, NEC",34999,
LAWN MOWERS,35241,
CRANES OR DERRICKS,35314,
SHOVELS,35314,
"MACHINERY OR MACHINES, NEC NEW",35999,
APPLIANCES,36343,
"PASSENGER CARS, ASSEMBLED",37111,
"TRUCK TRACTORS & TRUCKS, ASSEM",37112,
"MOTOR COACHES, ASSD, FIRE DEPT",37113,
MOTOR VEHICLE BODY PARTS,37147,
FREIGHT TRAIN CARS,37422,
CANDLES,39999,
"IRON AND STEEL SCRAP, WASTES",40211,
IRON OR STEEL SCRAP,40211,
"BRASS, BRONZE, OR COPPER ALLOY SCRAP, TAILINGS/WASTE",40212,
"LEAD, ZINC, OR ALLOY SCRAP, TAILINGS/WASTE",40213,
"ALUMINUM OR ALLOY SCRAP, TAILINGS WASTE",40214,
"NONFERROUS METAL OR ALLOY SCRAP, TAILINGS/WASTE",40219,
WOOD SCRAP / WASTE,40231,
RECOVERED FIBER,40241,
AUTOMOBILE SHREDDER,40291,
MUNICIPAL GARBAGE WASTE,40291,
"PLANT REFUSE, REFUSE WASTE MATERIAL",40291,
"SOIL, CHEMICAL WASTE CONTAMINATED",40291,
"SOIL, LOW-LEVEL RADIOACTIVE CONTAMINATED",40291,
"SOLID WASTE, NON-HAZARDOUS",40291,
WASTE WATER,40291,
OUTFITS OR KITS,41111,
"ARTICLES, USED, EXC CODES",41114,
"BINS, CRATES, RACKS",41114,
"ARTICLES, USED, RTD FOR REPAIR",41115,
CIRCUS OUTFITS,41211,
WASTE FLAMMABLE LIQUIDS,48105,
WASTE ALUMINUM SMELTING BY-PRODUCTS,48163,
"WASTE BATTERY, WET, FILLED WITH ACID",48365,
WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE,48755,
BALED COTTON,112910,
"COTTON, N.E.C.",112910,FOOD & BEVERAGES
"COTTON FIBER, BLEACHED MADE FROM BLEACHED TEXTILE MILL WAST",112911,FOOD & BEVERAGES
"COTTON BOLLS, IMMATURE",112915,FOOD & BEVERAGES
"COTTON SAMPLES, UNMANUFACTURED",112920,FOOD & BEVERAGES
"COTTON, UNGINNED (COTTON IN THE SEED)",112930,FOOD & BEVERAGES
BARLEY FOR MALTING PURPOSES ONLY,113115,GRAINS
"BARLEY, MALTING",113115,
"BARLEY , FEED, N.E.C.",113130,GRAINS
"BARLEY, FEED",113130,
"CORN (NOT POPCORN) OR MAIZE (NOT POPCORN), IN THE EAR, NOT SHELLED, DRIED NOT ORGANICALLY GROWN FREE OF FERTILIZER AND OR PESTICIDE APPLICATIONS",113210,GRAINS
"CORN (NOT POPCORN) OR MAIZE (NOT POPCORN), IN THE EAR, NOT SHELLED, DRIED, ORGANICALLY GROWN FREE OF FERTILIZER AND ORPESTICIDE APPLICATIONS",113211,GRAINS
